Table Names-1,Previous Rank,Weeks of List,Title,Author,Price,ISBN,Rank,Table Names,File Paths
sample2.xlsx/Early & Middle,,,A Wrinkle in Time,Madeleine L'Engle,8.99,9781250153272,1,Early & Middle,sample2.xlsx
sample2.xlsx/Early & Middle,,,Wonder,R.J. Palacio,16.99,9781524720193,2,Early & Middle,sample2.xlsx
sample2.xlsx/Early & Middle,,,The Girl Who Drank the Moon,Kelly Barnhill,16.95,9781616205676,3,Early & Middle,sample2.xlsx
sample2.xlsx/Early & Middle,,,Auggie & Me,R.J. Palacio,16.99,9781101934852,4,Early & Middle,sample2.xlsx
sample2.xlsx/Early & Middle,,,"Hello, Universe",Erin Entrada Kelly & Isabel Roxas (Illus.),16.99,9780062414151,5,Early & Middle,sample2.xlsx
sample2.xlsx/Early & Middle,,,All's Faire in Middle School,Victoria Jamieson,12.99,9780525429999,6,Early & Middle,sample2.xlsx
sample2.xlsx/Early & Middle,,,Drama,Raina Telgemeier,10.99,9780545326995,7,Early & Middle,sample2.xlsx
sample2.xlsx/Early & Middle,,,Sisters,Raina Telgemeier,10.99,9780545540605,8,Early & Middle,sample2.xlsx
sample2.xlsx/Early & Middle,,,Wishtree,Katherine Applegate,16.99,9781250043221,9,Early & Middle,sample2.xlsx
sample2.xlsx/Early & Middle,,,The War That Saved My Life,Kimberly Brubaker Bradley,8.99,9780147510488,10,Early & Middle,sample2.xlsx
sample2.xlsx/Early & Middle,,,Smile,Raina Telgemeier,10.99,9780545132060,11,Early & Middle,sample2.xlsx
sample2.xlsx/Early & Middle,,,Black Panther: The Young Prince,Ronald L. Smith,16.99,9781484787649,12,Early & Middle,sample2.xlsx
sample2.xlsx/Early & Middle,,,Marvel's Black Panther: The Junior Novel,Jim McCann,6.99,9780316413206,13,Early & Middle,sample2.xlsx
sample2.xlsx/Early & Middle,,,Ghosts,Raina Telgemeier,10.99,9780545540629,14,Early & Middle,sample2.xlsx
sample2.xlsx/Early & Middle,,,Roller Girl,Victoria Jamieson,12.99,9780803740167,15,Early & Middle,sample2.xlsx
sample2.xlsx/Early & Middle,2,2,An American Marriage,Tayari Jones,26.95,9781616208776,1,Hardcover Fiction,sample2.xlsx
sample2.xlsx/Early & Middle,1,2,The Great Alone,Kristin Hannah,28.99,9780312577230,2,Hardcover Fiction,sample2.xlsx
sample2.xlsx/Early & Middle,3,7,The Woman in the Window,A.J. Finn,26.99,9780062678416,3,Hardcover Fiction,sample2.xlsx
sample2.xlsx/Early & Middle,6,23,Little Fires Everywhere,Celeste Ng,27,9780735224292,4,Hardcover Fiction,sample2.xlsx
sample2.xlsx/Early & Middle,4,76,A Gentleman in Moscow,Amor Towles,27,9780670026197,5,Hardcover Fiction,sample2.xlsx
sample2.xlsx/Early & Middle,5,6,The Immortalists,Chloe Benjamin,26,9780735213180,6,Hardcover Fiction,sample2.xlsx
sample2.xlsx/Early & Middle,7,20,"Sing, Unburied, Sing",Jesmyn Ward,26,9781501126062,7,Hardcover Fiction,sample2.xlsx
sample2.xlsx/Early & Middle,9,20,Origin,Dan Brown,29.95,9780385514231,8,Hardcover Fiction,sample2.xlsx
sample2.xlsx/Early & Middle,8,3,Still Me,Jojo Moyes,27,9780399562457,9,Hardcover Fiction,sample2.xlsx
sample2.xlsx/Early & Middle,11,7,The Power,Naomi Alderman,26,9780316547611,10,Hardcover Fiction,sample2.xlsx
sample2.xlsx/Early & Middle,14,20,Manhattan Beach,Jennifer Egan,27,9781476716732,11,Hardcover Fiction,sample2.xlsx
sample2.xlsx/Early & Middle,,1,White Houses,Amy Bloom,27,9780812995664,12,Hardcover Fiction,sample2.xlsx
sample2.xlsx/Early & Middle,10,6,The Wife Between Us,Greer Hendricks,26.99,9781250130921,13,Hardcover Fiction,sample2.xlsx
sample2.xlsx/Early & Middle,12,17,The Rooster Bar,John Grisham,28.95,9780385541176,14,Hardcover Fiction,sample2.xlsx
sample2.xlsx/Early & Middle,,1,How to Stop Time,Matt Haig,26,9780525522874,15,Hardcover Fiction,sample2.xlsx
